permno,permco,correlation
12362,53545,0.00397446670719075
12363,53546,0.289995731125206
12364,53547,0.22067517081358
12365,53549,0.148363527666051
12366,53550,0.187974782141621
12367,53551,0.103487499907854
12368,53553,0.151350903513173
12369,53554,0.272419525130695
12370,53120,0.514085759399916
12371,53120,0.817185238766384
12372,53120,0.622128242019523
12373,53556,0.201129581779453
12374,53557,0.155742860127189
12375,37493,0.831739024061289
12376,53558,-0.22246232752603
12377,53559,0.296609834710526
12379,53560,0.127235224016748
12380,53561,-0.0956906676773726
12381,53171,0.0152783231940388
12382,53562,-0.292845992006448
12383,53562,-0.298732953800683
12384,53563,0.114304844105165
12385,53564,0.451197782233937
12388,53565,0.229398153200546
12389,53566,0.172051213623607
12390,53567,-0.0172098518029921
12391,53568,0.319425603165233
12392,53570,0.223606662161604
12396,53572,0.0898740547085473
12397,53573,0.0861191087657893
12398,53574,0.346977390384239
12399,53575,-0.157188443852296
12400,53576,0.079602344393758
12401,53577,0.0779968893855778
12402,53578,0.118224950938909
12403,53579,-0.0190371937501871
12405,53580,0.354035726945523
12406,53581,0.257395293736247
12409,53582,0.0124485629707025
12410,53583,0.133668680335478
12411,53584,-0.172197910894241
12412,46431,0.840626789407121
12413,53585,0.28510343922295
12431,20977,0.735148801927221
12437,20325,0.650452992433772
12438,53202,0.235366018893087
12439,53603,0.384484879652985
12440,53604,-0.187353660452764
12441,53101,0.403366289908922
12442,53101,0.177043005162744
12443,53101,-0.181109432461487
12444,53605,0.191960970594186
12445,53606,0.166988297715954
12446,53607,0.163400841232205
12447,53608,-0.376701363571403
12448,53609,0.27230159199097
12449,53610,0.0866913128105442
12450,53611,-0.408545227736711
12451,53612,-0.413356384610731
12452,53613,0.631099842915966
12453,37493,0.223652850465554
12454,53614,-0.395929904412004
12455,53615,0.0915248699741989
12457,52902,0.0146127223062229
12460,52902,0.472922628496784
12461,52902,0.31282672149619
12462,52902,0.340265676791462
12463,50846,0.50110582100633
12464,53617,-0.152684486942659
12465,44040,0.248672683004836
12468,44040,0.188902362416428
12469,44040,0.394500088477594
12470,44040,0.467207980985808
12471,44040,0.440561556894495
12472,53619,0.503224259862405
12473,53620,0.58645845889649
12476,53621,-0.0697122254299712
12477,53622,-0.490801203578854
12478,53623,-0.0784313979849975
12479,53569,0.63369049825748
12480,53624,0.25305151867298
12481,53625,0.533498460868183
12484,53626,-0.451086280477802
12485,53627,-0.489920040898644
12486,27382,-0.6389460553035
12487,53628,0.437111083490494
12488,53629,0.487095016965527
12489,53630,0.260277054957223
12490,20990,0.737559960022914
12492,53631,0.683917627010947
12493,15632,-0.0838188949938053
12494,53632,0.464139904358196
12495,53633,-0.308430777402419
12496,53634,-0.641275474591093
12497,53635,-0.455828305358803
12503,21265,0.688796272087445
12570,20964,0.808062001263964
12650,21033,0.770088368459578
12758,7019,0.572073545330523
12781,21080,0.762941771035646
13056,121,0.74414564728647
13303,21245,0.551000580384604
13470,6743,0.163968559980302
13507,261,0.687988523265839
13603,6355,0.488417205056326
13610,21329,0.808498712624448
13688,21356,0.51243474209989
13769,7119,0.0413338021185846
13777,5828,0.56554024025162
13856,21384,0.544004994589752
13901,21398,0.627544544185864
13928,21401,0.833513572941138
13936,21402,0.742933651278713
13987,21413,-0.0765760432858168
14008,216,0.52259156117811
14198,173,0.674496128726673
14219,283,0.0659193515146819
14227,275,0.654417887799449
14277,21576,0.746373560479355
14461,4178,0.167842260789034
14526,317,0.58314495279932
14541,20440,0.818790545261682
14593,7,0.696707356320099
14656,21686,0.694863867537445
14702,194,0.748019919856559
14752,21739,0.266728630111704
14761,352,0.227526624183035
14795,21758,0.771744050887804
14816,21763,0.745073372217388
14868,332,0.480046846608712
15069,21795,0.743409914639929
15070,1940,0.698510327944924
15202,21876,0.681897629586368
15203,357,0.276622795818938
15318,362,0.598153373066851
15456,21936,0.663581217488701
15457,397,0.526753601636012
15537,5225,0.0176920782807841
15553,116,0.684657380263017
15560,21711,0.528959421235893
15579,21737,0.685406375376648
15580,5,0.174364190592435
15720,21543,0.679260385289233
15721,403,0.698246567837437
16030,421,0.672353372671923
16126,430,0.692038698641118
16249,674,0.0552583503408239
16417,714,0.344188310170223
16432,20834,0.700803547705642
16505,475,0.486148451674263
16548,589,0.631917557671585
16555,21838,0.513187904694378
16600,20906,0.353900698937728
16644,7070,0.0964974450049086
16678,21068,0.382073373713943
17005,21185,0.667794705290205
17137,676,0.164874774547397
17144,20798,0.43934058121236
17444,6653,0.470549436690295
17478,21179,0.57041172540363
17523,21648,0.22578591748591
17671,5977,0.144974488116688
17726,20537,0.579419987865661
17743,544,0.679191746176587
17750,21055,0.451731202860421
17778,540,0.599896309968865
17830,21832,0.834196550701042
17929,21794,0.635177285077863
17961,20330,0.741967188530854
18033,6438,0.298228086300628
18075,20192,0.760258838065115
18091,20546,0.809043540328619
18112,20757,0.752481001611352
18148,682,0.117230730162998
18163,21446,0.546668583476696
18403,21375,0.620015502945021
18411,21640,0.572648845038117
18438,21665,0.333319152885595
18542,20408,0.828640061945662
18570,595,0.770062152463522
18622,20787,0.933166643795597
18649,21414,0.659455158892519
18650,603,0.571385465059843
18729,20473,0.441284127940167
18956,21779,0.88958500446545
18964,21392,0.906522429538258
18973,7113,0.82027573603011
19166,20681,0.73280416526258
19271,644,0.245444719407701
19350,20566,0.773046434847762
19393,20331,0.407149122250013
19502,21881,0.538005492673233
19561,20315,0.772910999694132
19721,20851,0.676742029277776
19828,20550,0.487920790809272
19880,678,0.642698475705536
20053,781,0.547247900671072
20117,6702,0.688939467015522
20204,20531,0.822860993541423
20220,20306,0.684587907447979
20248,5595,0.393582867037615
20336,5286,0.107271976836553
20395,5856,0.525419750129099
20415,21097,0.844322879228018
20482,20017,0.604619621940158
20504,398,0.334901856796628
20512,727,0.51860603953979
20539,7219,0.417847528618791
20598,737,0.488150668719663
20618,20398,0.748932434756976
20626,20597,0.764242239621293
20670,6689,0.390682253962507
20750,1222,0.68858074248391
20765,20786,0.628884270960915
21020,20010,0.565487204709635
21055,20805,0.627333095613631
21135,20699,0.704204712038415
21152,748,0.652227522050814
21178,21110,0.638903634878261
21186,21913,0.790787316013655
21207,21286,0.412591214865591
21231,21887,0.679884600802026
21259,1167,0.693751448571492
21371,6262,0.59240075066177
21573,20994,0.727631089802006
21726,755,0.732814827027971
21742,6515,0.246704771552945
21776,21396,0.594699299739087
21785,6522,0.189202510700379
21792,20939,0.704418250984719
21928,20965,0.764691205393993
21936,21394,0.606996257053666
21979,20517,0.716974411804447
22103,20643,0.747073049478425
22111,21018,0.601855580899135
22293,20523,0.706542620672273
22323,6905,0.0805426025089835
22374,7137,0.696759162927173
22437,20416,0.657482737860459
22509,21351,0.816307349145648
