permno,permco,yearly_ret_2011
12741,53750,-0.266733266733267
12742,53751,-0.331458885941645
12743,53752,-0.440988835725678
12744,50699,-1.93693338588885
12745,53753,-0.0166825548141087
12746,53754,-0.433333333333333
12747,53755,0.0315384615384615
12748,53756,-0.121105527638191
12751,53757,-0.618305084745763
12752,52902,-0.117997616209774
12753,52902,0.045986284792255
12754,52902,-0.224152191894127
12755,53758,-0.718670076726343
12756,53759,-0.0480769230769232
12758,7019,0.0491620111731845
12759,53760,-0.802887284841755
12760,53761,-0.0870406189555126
12761,53414,-0.089275133320166
12762,53414,-0.242549832247878
12763,53414,-1.94084084084084
12764,53414,-1.79378698224852
12767,53414,-1.94139849026619
12768,53414,-0.0781404549950543
12769,53414,-1.84115201900238
12770,53414,-0.0131999999999999
12771,53414,-0.144167497507478
12772,53414,-0.0206342834203131
12775,53414,-1.89305027037853
12776,53414,-0.059082715802123
12777,53414,-0.151246237206502
12778,53414,-0.047542627883651
12779,53414,-0.0565733843366217
12780,53414,-1.91350423899879
12781,21080,0.0914239482200647
12782,53762,-0.068
12783,53763,0.43485342019544
12784,53764,-0.865497076023392
12785,53766,0.362272240085745
12786,53767,0.0561904761904762
12787,53768,-0.30987452264048
12788,53769,-0.327850877192982
12789,53770,-0.462893081761006
12791,53772,-0.444866920152091
12792,53773,-0.0273417721518987
12793,53774,-0.904458598726115
12794,53703,-0.0138817480719794
12795,53775,-0.470268006700167
12796,53776,0.350649350649351
12797,53777,-0.425398358281024
12798,53779,-0.289256198347107
12799,53780,-0.492790937178167
12826,52262,-0.243711920529801
12827,53120,-0.0539828834759711
12828,53803,0.0249490835030549
12831,53202,-1.98318654923939
12832,53202,-2.00258964143426
12833,53202,-1.7943359375
12834,53202,-1.9242125984252
12835,53804,0.401564537157758
12836,51965,-0.204527081649151
12839,53805,-0.046953046953047
12840,53806,-0.442424242424242
12841,53807,-1.84112705080447
12842,53807,-0.135680379746835
12843,53807,-1.86943164362519
12844,53807,-1.88703261734288
12847,53807,-0.132539682539683
12848,53101,-0.425240072670646
12849,53101,-0.169540927860092
12850,53101,-0.0865125528212776
12851,53101,-0.235629335976214
12852,53101,-0.118090452261306
12855,53146,-1.73180661577608
12856,53146,0.00967413441955182
12857,53146,-1.91756826378156
12858,53146,-1.82781456953642
12859,53146,-1.77474489795918
12860,53146,-1.7845
12863,53146,-0.181538461538461
12864,53146,-1.92802254098361
12865,53808,0.0755555555555555
12866,53120,-0.133554817275748
12867,53120,-0.179559118236473
12868,53127,-0.130735076467686
12869,53127,-0.100654252642174
12870,37493,-0.0213700818853605
12871,53823,-0.210526315789474
12872,53810,-0.211137440758294
12873,53811,-0.425373134328358
12874,53171,-0.0193806193806194
12875,53812,-0.00304568527918775
12876,53812,-0.0410334346504559
12877,15120,-0.17470664928292
12878,53814,-0.438639125151883
12879,53815,-0.433795013850416
12880,53816,-0.0569636135508156
12881,53817,-0.576
12882,53818,-0.421785625466302
12883,53819,-0.692307692307692
12884,53820,0.174187725631769
12885,53821,-0.135333333333333
12886,53822,-0.277124183006536
12887,53824,-0.321333333333333
12890,53825,-0.435416666666667
12891,53826,-0.241733708503415
12892,53827,-0.132696897374702
12893,53828,-0.181769436997319
12894,53830,-0.313770491803279
12895,53831,-0.0949999999999999
12898,53127,-0.270118518518519
12899,50699,0.078093712454946
12900,53833,0.178059071729958
12901,53834,-0.131648936170213
12902,50846,-0.0300973296730722
12903,53835,0.181229773462783
12904,53271,0.0344137655062026
12905,53836,-0.341176470588235
12906,53837,-0.206128133704735
12907,53838,-0.324460431654676
12908,53840,-0.0623324396782842
12911,50852,-0.0557553956834532
12912,53841,-1.55635062611807
12913,53842,0.0205714285714285
12914,53843,-0.103052064631957
12915,53844,-0.374321880650995
12916,53845,-0.394891944990177
12919,53846,-0.562841530054645
12920,53847,-0.0385604113110539
12921,53850,-0.0784810126582278
12922,53851,-0.374
12923,52262,-0.152291769344505
12924,53852,0.321888412017167
12927,53853,-0.37154039698071
12946,53862,-0.1195
12947,53146,-0.0543197102948783
12948,53146,-0.200802192326856
12949,31600,-0.159183673469388
12950,37493,0.0538201772899957
12951,37493,-2.0535864978903
12952,53863,-0.187096774193548
12953,50699,-0.0857028434120945
12954,53864,-0.296943231441048
12955,44040,0.00595864002804059
12956,44040,-0.00387460373370903
12957,53865,0.263888888888889
12959,53867,-0.579090909090909
12960,53868,-0.101214574898785
12961,53771,-2.00421496311907
12962,53869,-0.183571428571429
12963,53870,-0.396780303030303
12964,53848,-1.7837067209776
12965,53871,0.022270505160239
12966,53849,-2.00577427821522
12967,53872,-1.46454545454545
12970,53873,-0.570422535211268
12971,53778,-2.02
12972,34922,-0.0282485875706215
12973,51965,-0.011867088607595
12974,53874,0.0125
12975,53875,0.134829013286866
12978,53875,0
12979,53875,-2.00541624874624
12980,53875,0.00436681222707421
12981,53876,0.384552845528455
12982,53877,-0.207792207792208
12983,53878,-1.95
12986,53878,-2.01693548387097
12987,53878,-1.98095238095238
12988,53878,-1.99663499604117
12989,53878,-0.0265379975874548
12990,53878,-1.97414829659319
12991,53878,-0.042020202020202
12994,53879,-0.20188679245283
12995,52902,-0.0506024096385541
12996,52902,-2.01053911633563
12997,39147,0.142424242424242
12998,39147,-2.13285512224692
12999,39147,-2.10423290937997
13000,53441,-0.0868180007964954
13001,53441,-0.0883190883190884
13002,53441,-0.10142566191446
13003,53881,-0.184313725490196
13006,53882,0.0588688286129888
13007,53883,0.0156862745098039
13008,53884,0.119638502366949
13009,53884,0.189894672569073
13010,53884,-0.045688178183895
13011,53884,-0.060968660968661
13013,53885,-0.183946488294314
13014,53886,-0.018867924528302
13015,53887,-0.0737588652482269
13016,53202,0.12434456928839
13017,53889,0.0328170327393287
13018,53890,-0.226495726495726
13019,53892,-0.0445783132530122
13022,53893,-0.0698638743455498
13023,31600,-0.0290697674418605
13024,31600,-0.0144230769230769
13025,31600,0.0302282541640962
13026,37493,-0.012330383480826
13027,37493,0.0536277602523659
13028,50699,-2.01813165155696
13029,53104,0.241805225653207
13030,53104,-0.645481049562682
13031,53104,0.755740107474353
13032,53104,-0.480947503201024
13033,53271,0.0480384307445956
13034,53894,-0.0522088353413653
13035,53896,-0.0593189307945807
13036,53897,0.00514604810996555
13037,53898,0.0223084384093112
13038,53899,-1.6485
13041,53900,0.0323014804845222
13042,53414,0.150065653723504
13043,53414,-2.13553042121685
13044,53414,-2.13999250374813
13045,53414,0.102523967912346
13046,53901,0.0417142857142857
13049,53902,-0.267096774193548
13056,121,-0.463090128755365
13076,53915,0
13077,53916,0.273979862215156
13078,53917,-0.14965034965035
13079,53918,-0.037158984007526
13080,53919,0.450416666666667
13081,53920,0.119101123595506
13082,37493,0.0137763371150729
13083,53921,0.0293963254593175
13084,53922,0.0408333333333334
13085,53923,-0.0514096185737977
13086,53171,-0.00211800302571869
13087,53171,0.0261346633416459
13088,53171,-1.9456157635468
13089,52902,0.103342128408092
13090,52902,0.0349783080260303
13091,52902,-0.0159972770592239
13092,52902,0.00701402805611225
13093,53924,-0.17632241813602
13094,53414,-1.96753926282532
13095,53414,-1.98148516822616
13096,53414,-2.0334816912806
13097,53925,-0.270588235294118
13102,53926,-0.0270055599682287
13103,53927,0.00984528832630103
13104,53928,0.127272727272727
13105,53929,0.107777777777778
13106,53930,-0.00984009840098402
13107,53931,0.121815286624204
13108,53932,-0.20988127154347
13109,53933,-0.0968421052631579
13110,53934,0.0540909090909091
