permno,permco,correlation
12523,53651,0.655400056843748
12524,53120,0.585351513246248
12525,53120,0.764534887390492
12526,53120,0.858682882501273
12527,53652,0.128719395156877
12528,53653,0.629443552824306
12529,53412,0.643463297903119
12530,53104,-0.835152228863961
12531,53104,-0.860887121545342
12532,44040,0.721636372908491
12533,39147,0.892129262247454
12534,39147,0.872964165398128
12535,53271,0.987939463795967
12536,53271,0.896793035860058
12537,50852,-0.146966559950142
12540,53654,0.368530678257543
12541,53655,0.444163442784309
12542,53656,0.551761649142815
12543,53657,0.599614509974176
12544,53658,0.222022153472443
12545,53659,0.816508580248971
12548,53660,-0.883730761861666
12549,53661,0.847271992759958
12550,53662,-0.00710009574890111
12551,53663,-0.707581759275477
12552,53120,0.847972695669728
12553,53120,0.774065075913723
12556,53664,0.277137404966316
12557,53666,0.372581058143873
12558,53667,0.58286727005591
12559,53668,0.419669244655255
12560,53669,0.623224859240536
12561,50846,0.354724878778726
12564,43629,0.909880828878045
12565,39147,0.533439770256347
12566,53670,0.589031216353535
12567,53441,0.161041098156451
12568,53441,0.627009886117476
12569,53671,0.592583951426053
12570,20964,0.670140103528939
12572,53672,0.234075893636713
12573,53673,0.0540826866345478
12574,53674,0.556373768872309
12575,53675,0.352192778027814
12576,53676,0.360348473472959
12577,53677,0.561699403910505
12578,52262,0.881969849843108
12579,53678,0.481164429275938
12580,53679,0.187585039459692
12581,53680,0.584464966396693
12582,53681,0.250644518129248
12583,53682,0.309340690039286
12584,53683,0.710076263011832
12585,53684,0.480037362137691
12586,53685,0.213701746156144
12587,53686,0.526433041401598
12588,16549,0.20427531729469
12591,53688,0.57496933375233
12592,53689,0.349562608385132
12593,53690,0.746198539986315
12594,53101,0.53896530939795
12595,53101,0.383667558443174
12596,53101,0.576189901665266
12599,53693,0.34355105452558
12600,52833,0.970402786330323
12601,52833,0.914498848430052
12602,52833,0.886629447135862
12603,52833,0.646891365242285
12604,52833,0.821215295373037
12605,52833,0.803170942346458
12606,52833,0.880379496986994
12607,52833,0.888128887704377
12608,52833,0.769423479831934
12609,52833,0.833051057362704
12610,52833,0.905195479579932
12611,52833,0.600791074603254
12612,52833,0.733771889784984
12613,52833,0.834571721201967
12614,52833,0.861688746350114
12615,53694,0.628832634330742
12616,53120,0.781395300957421
12617,53120,0.461707058570095
12620,53120,0.65613712013665
12621,53120,0.748849461393621
12622,53696,0.50530207233056
12623,53697,0.528107887840677
12624,53127,0.943965117720801
12625,37493,0.881176190933572
12628,37493,0.739688661311146
12629,53698,0.404186634244251
12630,50699,0.637549768535458
12631,52902,0.647643867513607
12632,50846,0.0563057557359638
12633,50846,-0.832275043968676
12636,53700,0.352726066404765
12637,53701,0.67779753621945
12638,50852,0.57470405277044
12639,53702,0.449826992628953
12640,53704,0.413809791307605
12641,53705,0.629500655704944
12644,53706,0.532367260453511
12645,53707,0.471993591959606
12646,53708,0.776828847449666
12647,53708,0.868512099023475
12648,53708,0.655615106719447
12649,53708,0.724727514714424
12650,21033,0.842148975274199
12651,53708,0.693277827181586
12652,53708,0.367663385326716
12653,53708,0.768703621063433
12654,53708,0.856544398230018
12655,53708,0.840069999763531
12656,53709,0.869512877816039
12657,53709,0.850173619811274
12658,53709,0.909295901938706
12659,53709,0.877625013392531
12660,53710,0.496158633970111
12661,53120,0.819493048774674
12662,53711,0.733215611744214
12663,53712,0.282826878028657
12664,50699,0.817685728792987
12665,50699,0.778840370124905
12666,50699,0.0546121773227635
12667,53713,-0.0184555876769876
12668,53714,0.394340429210623
12671,50846,0.310014934267259
12672,50846,0.432270310905125
12673,50846,0.632709053222117
12674,50846,-0.178916308072957
12675,39147,-0.195197866865599
12676,39147,-0.0860683926309056
12679,53715,0.518494858472045
12680,53716,0.286231295108799
12681,53717,0.663280574812354
12682,53718,0.72069660122986
12683,53719,0.42300611815902
12684,53720,0.516846295665509
12687,53721,0.423051622129383
12688,53722,0.687323905091027
12689,53723,0.564173732272759
12690,53724,0.299728436167047
12691,53725,0.52892172122898
12692,53726,0.227561808284557
12693,53727,0.321518953471269
12695,53728,0.285417183863143
12696,53729,0.594008634596505
12697,53730,0.123165106777985
12698,53731,-0.0558062830587614
12699,53732,0.510130128580579
12700,53733,0.434434196126598
12717,39147,0.883935490497653
